AsOfDate,Acct Number,Acct Account Short Name,Line Of Business,User ID,User Email,User Short Name,User Display Name,CUSTNBR,CUST_NAME,PRODUCT_TYPE
6/1/2026,1042837,Nexus Capital LLC,Private Wealth,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,710234,VELTARA HEALTH SYSTEMS LLC,Commitment
6/1/2026,2837491,Pinnacle Ventures LTD,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,710234,VELTARA HEALTH SYSTEMS LLC,Deposit
6/1/2026,3920184,Horizon Dynamics INC,Commercial Real Estate,W992002,nancy.ortiz@cibc.com,ad\nortiz,Nancy Ortiz,724891,NORBROOK SURGICAL PARTNERS LLC,Commitment
6/1/2026,4817263,Sterling Solutions LLC,Commercial Banking,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,738102,CRESTLINE MEMORY CARE LLC,Deposit
6/1/2026,5293847,Apex Financial Group INC,Private Wealth,W992004,patricia.quinn@cibc.com,ad\pquinn,Patricia Quinn,751340,PINNACLE REHAB HOLDINGS INC,Commitment
6/1/2026,6748291,BlueCrest Holdings LTD,Commercial Real Estate,W992005,quincy.ross@cibc.com,ad\qross,Quincy Ross,751340,PINNACLE REHAB HOLDINGS INC,Deposit
6/1/2026,7391028,Ironclad Enterprises LLC,Commercial Banking,W992006,rachel.smith@cibc.com,ad\rsmith,Rachel Smith,763450,BLUERIDGE HOSPICE CARE LLC,Commitment
6/1/2026,8204756,Vantage Point Capital INC,Retail & Digital Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,763450,BLUERIDGE HOSPICE CARE LLC,Deposit
6/1/2026,9183746,Redwood Advisory LTD,Private Wealth,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,778234,OAKMONT WELLNESS GROUP INC,Commitment
6/1/2026,1029384,Crestview Partners LLC,Commercial Banking,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,778234,OAKMONT WELLNESS GROUP INC,Deposit
6/1/2026,2847561,Monarch Industries INC,Commercial Real Estate,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang,802567,AURELIAN CAPITAL GROUP LLC,Commitment
6/1/2026,3748291,Silverline Group LTD,Private Wealth,W992011,william.xu@cibc.com,ad\wxu,William Xu,802567,AURELIAN CAPITAL GROUP LLC,Deposit
6/1/2026,4920183,Titan Wealth Management LLC,Private Wealth,W992011,william.xu@cibc.com,ad\wxu,William Xu,819034,MERIDIAN ASSET ADVISORS LLC,Commitment
6/1/2026,5837264,Cascade Investments INC,Commercial Banking,W992012,xena.young@cibc.com,ad\xyoung,Xena Young,835290,TALBOT BRIDGE INVESTMENTS LLC,Deposit
