AsOfDate,AssignedDate,TriggeringEventDescription,HasExceptionHigh,HasExceptionLow,Account Number,Account Name,LOB,User ID,User Email,User Short Name,User Display Name
4/30/2025 0:00,5/1/2025 9:14,Commitment Amount Increased,1,1,1042837,Nexus Capital LLC,Private Wealth,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega
5/16/2025 0:00,7/14/2025 9:46,BORROWER Added,,1,2837491,Pinnacle Ventures LTD,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash
5/30/2025 0:00,5/31/2025 9:05,Commitment Renewal Date Changed,1,,3920184,Horizon Dynamics INC,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel
6/6/2025 0:00,6/9/2025 9:12,New Commitment,1,1,4817263,Sterling Solutions LLC,Commercial Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor
6/6/2025 0:00,6/9/2025 9:12,CO-BORROWER Added,1,,5293847,Apex Financial Group INC,Private Wealth,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang
4/30/2025 0:00,5/1/2025 9:14,CO-BORROWER Added,1,1,6748291,BlueCrest Holdings LTD,Commercial Real Estate,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards
5/16/2025 0:00,7/14/2025 9:46,Commitment Renewal Date Changed,,1,7391028,Ironclad Enterprises LLC,Commercial Banking,W992016,brian.clark@cibc.com,ad\bclark,Brian Clark
5/30/2025 0:00,5/31/2025 9:05,BORROWER Added,1,1,8204756,Vantage Point Capital INC,Retail & Digital Banking,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia
6/6/2025 0:00,6/9/2025 9:12,Commitment Amount Increased,1,,9183746,Redwood Advisory LTD,Private Wealth,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson
6/6/2025 0:00,6/9/2025 9:12,New Commitment,1,1,1029384,Crestview Partners LLC,Commercial Banking,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly
5/2/2025 0:00,5/3/2025 10:10,Commitment Amount Increased,1,1,2847561,Monarch Industries INC,Commercial Real Estate,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving
5/5/2025 0:00,5/6/2025 8:45,BORROWER Added,,1,3748291,Silverline Group LTD,Private Wealth,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker
5/8/2025 0:00,5/9/2025 14:22,Commitment Renewal Date Changed,1,1,4920183,Titan Wealth Management LLC,Private Wealth,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang
5/10/2025 0:00,5/12/2025 15:33,New Commitment,1,1,5837264,Cascade Investments INC,Commercial Banking,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams
5/13/2025 0:00,5/14/2025 9:02,Commitment Amount Increased,1,1,6291847,Harborview Capital LTD,Commercial Real Estate,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher
5/15/2025 0:00,5/16/2025 13:20,CO-BORROWER Added,1,,7483920,Zenith Consulting LLC,Other,W992017,cynthia.davis@cibc.com,ad\cdavis,Cynthia Davis
5/18/2025 0:00,5/19/2025 11:14,New Commitment,,1,8374619,Meridian Holdings INC,Commercial Banking,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin
