CoreDataKey,RequestedDate,Account Number,Account Name,LOB,User ID,User Email,User Short Name,User Display Name,RequestType,WorkflowStepStatus,CurrentWorkflowKey
135640,4/2/2025 6:56,1042837,Nexus Capital LLC,Private Wealth,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,Advance,Completed,8
135647,4/2/2025 8:10,2837491,Pinnacle Ventures LTD,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,Advance,Completed,8
135658,4/2/2025 9:00,3920184,Horizon Dynamics INC,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,Payment,Completed,8
135665,4/2/2025 9:16,4817263,Sterling Solutions LLC,Commercial Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,Payment,Completed,8
135666,4/3/2025 9:16,5293847,Apex Financial Group INC,Private Wealth,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang,Payment,Completed,8
135667,4/4/2025 9:16,6748291,BlueCrest Holdings LTD,Commercial Real Estate,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards,Payment,Completed,8
135668,4/5/2025 9:16,7391028,Ironclad Enterprises LLC,Commercial Banking,W992016,brian.clark@cibc.com,ad\bclark,Brian Clark,Payment,Completed,8
135669,4/6/2025 9:16,8204756,Vantage Point Capital INC,Retail & Digital Banking,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia,Payment,Completed,8
135670,4/7/2025 9:16,9183746,Redwood Advisory LTD,Private Wealth,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson,Payment,Completed,8
135671,4/8/2025 9:16,1029384,Crestview Partners LLC,Commercial Banking,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly,Payment,Completed,8
135672,4/9/2025 9:16,2847561,Monarch Industries INC,Commercial Real Estate,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving,Payment,Completed,8
135673,4/10/2025 9:16,3748291,Silverline Group LTD,Private Wealth,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker,Payment,Completed,8
135674,4/11/2025 9:16,4920183,Titan Wealth Management LLC,Private Wealth,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang,Payment,Completed,8
135675,4/12/2025 9:16,5837264,Cascade Investments INC,Commercial Banking,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams,Payment,Completed,8
135676,4/13/2025 9:16,6291847,Harborview Capital LTD,Commercial Real Estate,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher,Payment,Completed,8
135677,4/14/2025 9:16,7483920,Zenith Consulting LLC,Other,W992017,cynthia.davis@cibc.com,ad\cdavis,Cynthia Davis,Payment,Completed,8
135678,4/15/2025 9:16,8374619,Meridian Holdings INC,Commercial Banking,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin,Payment,Completed,8
135679,4/16/2025 9:16,9274831,Lakeside Financial LTD,Private Wealth,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson,Payment,Completed,8
135680,4/17/2025 9:16,1837264,Northstar Enterprises LLC,Commercial Real Estate,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens,Payment,Completed,8
135681,4/18/2025 9:16,2948371,Coastal Dynamics INC,Retail & Digital Banking,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,Payment,Completed,8
135682,4/19/2025 9:16,3847291,Summit Ridge Capital LTD,Commercial Banking,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker,Payment,Completed,8
135683,4/20/2025 9:16,4738291,Falcon Asset Management LLC,Private Wealth,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,Payment,Completed,8
135684,4/21/2025 9:16,5920183,Grandview Investments INC,Commercial Real Estate,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn,Payment,Completed,8
135685,4/22/2025 9:16,6847392,Clearwater Holdings LTD,Commercial Banking,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos,Payment,Completed,8
135686,4/23/2025 9:16,7293847,Ironwood Partners LLC,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,Payment,Completed,8
135687,4/24/2025 9:16,8374920,Pacific Crest Capital INC,Commercial Banking,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,Payment,Completed,8
