Account Number,Account Name,LOB,User ID,User Email,User Short Name,User Display Name,RequestedDateTime,CurrentWorkflowKey,WireReferenceNumber,WorkflowStepDescription
1042837,Nexus Capital LLC,Private Wealth,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,4/2/2025 7:31,12,20250402ACBDEFGH000123,Complete
2837491,Pinnacle Ventures LTD,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,4/2/2025 7:31,12,20250402ACBDEFGH000124,Complete
3920184,Horizon Dynamics INC,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,4/2/2025 8:22,12,20250402ACBDEFGH000125,Complete
4817263,Sterling Solutions LLC,Commercial Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,4/2/2025 10:55,12,20250402ACBDEFGH000126,Complete
5293847,Apex Financial Group INC,Private Wealth,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang,4/3/2025 10:55,12,20250402ACBDEFGH000127,Complete
6748291,BlueCrest Holdings LTD,Commercial Real Estate,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards,4/4/2025 10:55,12,20250402ACBDEFGH000128,Complete
7391028,Ironclad Enterprises LLC,Commercial Banking,W992016,brian.clark@cibc.com,ad\bclark,Brian Clark,4/5/2025 10:55,12,20250402ACBDEFGH000129,Complete
8204756,Vantage Point Capital INC,Retail & Digital Banking,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia,4/6/2025 10:55,12,20250402ACBDEFGH000130,Complete
9183746,Redwood Advisory LTD,Private Wealth,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson,4/7/2025 10:55,12,20250402ACBDEFGH000131,Complete
1029384,Crestview Partners LLC,Commercial Banking,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly,4/8/2025 10:55,12,20250402ACBDEFGH000132,Complete
