Txn Calendar Date,Txn Check or Reference Number,Acct Number,Acct Account Short Name,Line Of Business,User ID,User Email,User Short Name,User Display Name,Txn  Amount
4/30/2026,467698,1042837,Nexus Capital LLC,Private Wealth,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,5611.25
4/30/2026,467699,2837491,Pinnacle Ventures LTD,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,11024.77
4/30/2026,471876,3920184,Horizon Dynamics INC,Commercial Real Estate,W992002,nancy.ortiz@cibc.com,ad\nortiz,Nancy Ortiz,126555.26
4/30/2026,471877,4817263,Sterling Solutions LLC,Commercial Banking,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,240658.78
4/30/2026,480070,5293847,Apex Financial Group INC,Private Wealth,W992004,patricia.quinn@cibc.com,ad\pquinn,Patricia Quinn,150
4/30/2026,485245,6748291,BlueCrest Holdings LTD,Commercial Real Estate,W992005,quincy.ross@cibc.com,ad\qross,Quincy Ross,940
4/30/2026,485246,7391028,Ironclad Enterprises LLC,Commercial Banking,W992006,rachel.smith@cibc.com,ad\rsmith,Rachel Smith,1646
4/30/2026,485247,8204756,Vantage Point Capital INC,Retail & Digital Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,1125
4/30/2026,485248,9183746,Redwood Advisory LTD,Private Wealth,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,1250
4/30/2026,485249,1029384,Crestview Partners LLC,Commercial Banking,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,6455.9
4/30/2026,485250,2847561,Monarch Industries INC,Commercial Real Estate,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang,900
4/30/2026,488008,3748291,Silverline Group LTD,Private Wealth,W992011,william.xu@cibc.com,ad\wxu,William Xu,68452.08
4/30/2026,488009,4920183,Titan Wealth Management LLC,Private Wealth,W992011,william.xu@cibc.com,ad\wxu,William Xu,270.25
4/30/2026,488401,5837264,Cascade Investments INC,Commercial Banking,W992012,xena.young@cibc.com,ad\xyoung,Xena Young,125464.44
4/30/2026,488402,6291847,Harborview Capital LTD,Commercial Real Estate,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang,8674.19
4/30/2026,488403,7483920,Zenith Consulting LLC,Other,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams,8674.19
4/30/2026,488404,8374619,Meridian Holdings INC,Commercial Banking,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker,22498
4/30/2026,488405,9274831,Lakeside Financial LTD,Private Wealth,W992016,brian.clark@cibc.com,ad\bclark,Brian Clark,120000
4/30/2026,488406,1837264,Northstar Enterprises LLC,Commercial Real Estate,W992017,cynthia.davis@cibc.com,ad\cdavis,Cynthia Davis,216877.53
4/30/2026,488707,2948371,Coastal Dynamics INC,Retail & Digital Banking,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards,150000
4/30/2026,488708,3847291,Summit Ridge Capital LTD,Commercial Banking,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher,8698.52
4/30/2026,488709,4738291,Falcon Asset Management LLC,Private Wealth,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia,25000
4/30/2026,488710,5920183,Grandview Investments INC,Commercial Real Estate,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill,459.25
4/30/2026,488711,6847392,Clearwater Holdings LTD,Commercial Banking,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill,459.25
4/30/2026,488712,7293847,Ironwood Partners LLC,Other,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving,720
4/30/2026,488713,8374920,Pacific Crest Capital INC,Commercial Banking,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson,202516.73
4/30/2026,489557,9483726,Westfield Advisory LTD,Private Wealth,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly,17193.88
4/30/2026,489558,1293847,Bridgepoint Enterprises LLC,Commercial Real Estate,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis,26138.42
4/30/2026,489559,2748391,Keystone Financial INC,Commercial Banking,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin,63298.62
4/30/2026,489560,3920847,Riverview Holdings LTD,Retail & Digital Banking,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson,150000
4/30/2026,489561,4837261,Highmark Capital LLC,Private Wealth,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens,13135.58
4/30/2026,489562,5748392,Cornerstone Ventures INC,Commercial Banking,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker,4087.5
4/30/2026,489563,6293847,Bluewater Group LTD,Commercial Real Estate,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn,9750
4/30/2026,489564,7483921,Crestwood Partners LLC,Private Wealth,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos,11343.05
4/30/2026,489565,8374291,Oakridge Investments INC,Commercial Banking,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner,1000
4/29/2026,471875,9283746,Silverstone Holdings LTD,Other,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,100000
4/29/2026,482803,1748392,Greenfield Capital LLC,Commercial Real Estate,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood,8500
4/29/2026,484524,2839471,Northgate Enterprises INC,Commercial Banking,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez,1835.2
4/29/2026,484525,3748920,Lakeview Advisory LTD,Private Wealth,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White,23.61
4/29/2026,485243,4920371,Redstone Partners LLC,Commercial Banking,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang,2868
4/29/2026,485244,5837492,Horizon Peak Capital INC,Commercial Real Estate,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman,400
4/29/2026,485599,6748391,Westbrook Holdings LTD,Retail & Digital Banking,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks,15000
4/29/2026,485600,7293841,Maple Leaf Ventures LLC,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell,9920.81
4/29/2026,488695,8374926,Goldcrest Financial INC,Private Wealth,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas,1000
4/29/2026,488696,9283741,Ironbridge Group LTD,Commercial Real Estate,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis,186.96
4/29/2026,488697,1839274,Clearfield Capital LLC,Commercial Banking,W992042,eric.ford@cibc.com,ad\eford,Eric Ford,130.78
4/29/2026,488698,2748293,Sunridge Investments INC,Other,W992043,frances.green@cibc.com,ad\fgreen,Frances Green,2831.35
4/29/2026,488699,3920748,Eastwood Holdings LTD,Private Wealth,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton,278.08
4/29/2026,488700,4837294,Whitestone Partners LLC,Commercial Banking,W992045,helen.ingram@cibc.com,ad\hingram,Helen Ingram,944.15
4/29/2026,488701,5748293,Broadview Capital INC,Commercial Real Estate,W992046,ian.jenkins@cibc.com,ad\ijenkins,Ian Jenkins,2487.77
4/29/2026,488702,6293748,Harborlight Group LTD,Private Wealth,W992047,janet.king@cibc.com,ad\jking,Janet King,15509.68
4/29/2026,488703,7483926,Ridgeline Enterprises LLC,Commercial Banking,W992047,janet.king@cibc.com,ad\jking,Janet King,205.68
4/29/2026,488704,8374293,Stonewall Financial INC,Retail & Digital Banking,W992048,keith.lawson@cibc.com,ad\klawson,Keith Lawson,130
4/29/2026,488705,9283748,Bluestone Holdings LTD,Commercial Real Estate,W992049,lisa.mitchell@cibc.com,ad\lmitchell,Lisa Mitchell,15509.68
4/29/2026,488706,1748293,Greenstone Capital LLC,Private Wealth,W992050,mark.newman@cibc.com,ad\mnewman,Mark Newman,160
4/29/2026,489522,2839274,Northbrook Ventures INC,Commercial Banking,W992051,nina.olson@cibc.com,ad\nolson,Nina Olson,108160.32
4/29/2026,489523,3748293,Lakewood Advisory LTD,Commercial Real Estate,W992052,oliver.price@cibc.com,ad\oprice,Oliver Price,25102.39
4/29/2026,489524,4920374,Redfield Partners LLC,Other,W992053,paula.quinn@cibc.com,ad\pquinn3,Paula Quinn,1872.56
4/29/2026,489525,5837294,Summit Capital Group INC,Commercial Banking,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross,107.32
4/29/2026,489526,6748293,Westgate Holdings LTD,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone,88.31
4/29/2026,489527,7293748,Maplewood Enterprises LLC,Commercial Real Estate,W992056,thomas.tucker@cibc.com,ad\ttucker,Thomas Tucker,29.38
4/29/2026,489528,8374293,Goldfield Financial INC,Commercial Banking,W992057,ursula.underwood@cibc.com,ad\uunderwood,Ursula Underwood,9
4/29/2026,489529,9283748,Ironstone Group LTD,Retail & Digital Banking,W992058,vincent.vance@cibc.com,ad\vvance,Vincent Vance,37816
4/29/2026,489530,1839274,Clearstone Capital LLC,Private Wealth,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker,392.57
4/29/2026,489531,2748293,Sunfield Investments INC,Commercial Banking,W992060,xavier.xavier@cibc.com,ad\xxavier,Xavier Xavier,11117.74
