Full Date,Acct Number,Acct Account Short Name,Line Of Business,User ID,Email,Name Short,Display Name,Trans Posting Sequence Code,Acct Consumer Account Indicator,Acct Cost Center Number,Trans Exceptions Trans Desc,Trans Dflt Action Item Dpstn Cde,Trans Lst Action Item Dpstn Cde,Trans Amount,Acct Available Posting Balance,Acct Ledger Balance,Acct Ledger Posting Balance,Trans Exception Reason 1 Code,Trans Exception Reason 1 Desc
04/01/2026,1042837,Nexus Capital LLC,Private Wealth,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,1,Y,0000300,PREAUTHORIZED WD,PON,PON,2.99,-2.86,-2.86,-2.86,020,OVERDRAWN
04/01/2026,2837491,Pinnacle Ventures LTD,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash,2,Y,0000300,MAINTENANCE FEE,PO,PO,15.00,-2.86,-2.86,-2.86,021,OD > 0 BAL
04/01/2026,3920184,Horizon Dynamics INC,Commercial Real Estate,W992002,nancy.ortiz@cibc.com,ad\nortiz,Nancy Ortiz,1,Y,0000017,CHECK,PON,PON,"50,000.00",-14.02,-14.02,-14.02,020,OVERDRAWN
04/01/2026,4817263,Sterling Solutions LLC,Commercial Banking,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel,2,Y,0000017,MAINTENANCE FEE,PO,PO,15.00,-14.02,-14.02,-14.02,021,OD > 0 BAL
04/01/2026,5293847,Apex Financial Group INC,Private Wealth,W992004,patricia.quinn@cibc.com,ad\pquinn,Patricia Quinn,1,Y,0000903,PREAUTHORIZED WD,PON,PON,"5,210.00","-5,204.22","-5,204.22","-5,204.22",020,OVERDRAWN
04/01/2026,6748291,BlueCrest Holdings LTD,Commercial Real Estate,W992005,quincy.ross@cibc.com,ad\qross,Quincy Ross,2,Y,0000903,CHECK,R,PN,"12,932.17","-5,204.22","-5,204.22","-5,204.22",022,OD > LIMIT
04/01/2026,7391028,Ironclad Enterprises LLC,Commercial Banking,W992006,rachel.smith@cibc.com,ad\rsmith,Rachel Smith,1,N,0000721,CHECK,PN,PN,"18,508.79","-7,528.89","-7,528.89","-7,528.89",020,OVERDRAWN
04/01/2026,8204756,Vantage Point Capital INC,Retail & Digital Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor,2,N,0000721,PREAUTHORIZED WD,PN,PN,"5,853.37","-7,528.89","-7,528.89","-7,528.89",020,OVERDRAWN
04/01/2026,9183746,Redwood Advisory LTD,Private Wealth,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton,3,N,0000721,CHECK,R,P,"5,552.57","-7,528.89","-7,528.89","-7,528.89",021,OD > 0 BAL
04/01/2026,1029384,Crestview Partners LLC,Commercial Banking,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega,4,N,0000721,CHECK,R,P,"2,500.00","-7,528.89","-7,528.89","-7,528.89",021,OD > 0 BAL
