Acct Number,Acct Account Short Name,Line Of Business,Acct Post No Txn Ind,Maint Txn Process Date,Maint Txn Transaction Code,Maint Txn Keyword Description,Maint Txn Maintenance Trans Keyword,Maint Txn Maintenance User ID,Maint Txn Maintenance Email,Maint Txn Maintenance Name Short,Maint Txn Maintenance Display Name
1042837,Nexus Capital LLC,Private Wealth,Y,4/6/2026,380,POST INDICATOR,POSTSW,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash
2837491,Pinnacle Ventures LTD,Commercial Banking,Y,4/7/2026,380,POST INDICATOR,POSTSW,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash
3920184,Horizon Dynamics INC,Commercial Real Estate,Y,4/17/2026,380,POST INDICATOR,POSTSW,W992002,nancy.ortiz@cibc.com,ad\nortiz,Nancy Ortiz
4817263,Sterling Solutions LLC,Commercial Banking,Y,4/17/2026,380,POST INDICATOR,POSTSW,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel
5293847,Apex Financial Group INC,Private Wealth,Y,4/20/2026,380,POST INDICATOR,POSTSW,W992004,patricia.quinn@cibc.com,ad\pquinn,Patricia Quinn
6748291,BlueCrest Holdings LTD,Commercial Real Estate,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992005,quincy.ross@cibc.com,ad\qross,Quincy Ross
7391028,Ironclad Enterprises LLC,Commercial Banking,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992006,rachel.smith@cibc.com,ad\rsmith,Rachel Smith
8204756,Vantage Point Capital INC,Retail & Digital Banking,Y,4/20/2026,380,POST INDICATOR,POSTSW,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor
9183746,Redwood Advisory LTD,Private Wealth,Y,4/22/2026,380,POST INDICATOR,POSTSW,W992008,tina.upton@cibc.com,ad\tupton,Tina Upton
1029384,Crestview Partners LLC,Commercial Banking,Y,4/23/2026,380,POST INDICATOR,POSTSW,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega
2847561,Monarch Industries INC,Commercial Real Estate,Y,4/23/2026,380,POST INDICATOR,POSTSW,W992010,victoria.wang@cibc.com,ad\vwang,Victoria Wang
3748291,Silverline Group LTD,Private Wealth,Y,4/24/2026,380,POST INDICATOR,POSTSW,W992011,william.xu@cibc.com,ad\wxu,William Xu
4920183,Titan Wealth Management LLC,Private Wealth,Y,4/24/2026,380,POST INDICATOR,POSTSW,W992011,william.xu@cibc.com,ad\wxu,William Xu
5837264,Cascade Investments INC,Commercial Banking,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992012,xena.young@cibc.com,ad\xyoung,Xena Young
6291847,Harborview Capital LTD,Commercial Real Estate,Y,4/9/2026,380,POST INDICATOR,POSTSW,W992013,yolanda.zhang@cibc.com,ad\yzhang,Yolanda Zhang
7483920,Zenith Consulting LLC,Other,Y,4/6/2026,380,POST INDICATOR,POSTSW,W992014,zachary.adams@cibc.com,ad\zadams,Zachary Adams
8374619,Meridian Holdings INC,Commercial Banking,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992015,alice.baker@cibc.com,ad\abaker,Alice Baker
9274831,Lakeside Financial LTD,Private Wealth,Y,4/9/2026,380,POST INDICATOR,POSTSW,W992016,brian.clark@cibc.com,ad\bclark,Brian Clark
1837264,Northstar Enterprises LLC,Commercial Real Estate,Y,4/22/2026,380,POST INDICATOR,POSTSW,W992017,cynthia.davis@cibc.com,ad\cdavis,Cynthia Davis
2948371,Coastal Dynamics INC,Retail & Digital Banking,Y,4/9/2026,380,POST INDICATOR,POSTSW,W992018,derek.edwards@cibc.com,ad\dedwards,Derek Edwards
3847291,Summit Ridge Capital LTD,Commercial Banking,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher
4738291,Falcon Asset Management LLC,Private Wealth,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992020,frank.garcia@cibc.com,ad\fgarcia,Frank Garcia
5920183,Grandview Investments INC,Commercial Real Estate,Y,4/13/2026,380,POST INDICATOR,POSTSW,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill
6847392,Clearwater Holdings LTD,Commercial Banking,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992021,grace.hill@cibc.com,ad\ghill,Grace Hill
7293847,Ironwood Partners LLC,Other,Y,4/7/2026,380,POST INDICATOR,POSTSW,W992022,henry.irving@cibc.com,ad\hirving,Henry Irving
8374920,Pacific Crest Capital INC,Commercial Banking,Y,4/14/2026,380,POST INDICATOR,POSTSW,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson
9483726,Westfield Advisory LTD,Private Wealth,Y,4/20/2026,380,POST INDICATOR,POSTSW,W992024,james.kelly@cibc.com,ad\jkelly,James Kelly
1293847,Bridgepoint Enterprises LLC,Commercial Real Estate,Y,4/14/2026,380,POST INDICATOR,POSTSW,W992025,karen.lewis@cibc.com,ad\klewis,Karen Lewis
2748391,Keystone Financial INC,Commercial Banking,Y,4/29/2026,380,POST INDICATOR,POSTSW,W992026,larry.martin@cibc.com,ad\lmartin,Larry Martin
3920847,Riverview Holdings LTD,Retail & Digital Banking,Y,4/20/2026,380,POST INDICATOR,POSTSW,W992027,mary.nelson@cibc.com,ad\mnelson,Mary Nelson
4837261,Highmark Capital LLC,Private Wealth,Y,4/14/2026,380,POST INDICATOR,POSTSW,W992028,nathan.owens@cibc.com,ad\nowens,Nathan Owens
5748392,Cornerstone Ventures INC,Commercial Banking,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992029,olivia.parker@cibc.com,ad\oparker,Olivia Parker
6293847,Bluewater Group LTD,Commercial Real Estate,Y,4/15/2026,380,POST INDICATOR,POSTSW,W992030,peter.quinn@cibc.com,ad\pquinn2,Peter Quinn
7483921,Crestwood Partners LLC,Private Wealth,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992031,rosa.santos@cibc.com,ad\rsantos,Rosa Santos
8374291,Oakridge Investments INC,Commercial Banking,Y,4/7/2026,380,POST INDICATOR,POSTSW,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner
9283746,Silverstone Holdings LTD,Other,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood
1748392,Greenfield Capital LLC,Commercial Real Estate,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992033,tracy.underwood@cibc.com,ad\tunderwood,Tracy Underwood
2839471,Northgate Enterprises INC,Commercial Banking,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez
3748920,Lakeview Advisory LTD,Private Wealth,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992035,wendy.white@cibc.com,ad\wwhite,Wendy White
4920371,Redstone Partners LLC,Commercial Banking,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992036,xavier.yang@cibc.com,ad\xyang,Xavier Yang
5837492,Horizon Peak Capital INC,Commercial Real Estate,Y,4/16/2026,380,POST INDICATOR,POSTSW,W992037,yvette.zimmerman@cibc.com,ad\yzimmerman,Yvette Zimmerman
6748391,Westbrook Holdings LTD,Retail & Digital Banking,Y,4/7/2026,380,POST INDICATOR,POSTSW,W992038,aaron.brooks@cibc.com,ad\abrooks,Aaron Brooks
7293841,Maple Leaf Ventures LLC,Commercial Banking,Y,4/10/2026,380,POST INDICATOR,POSTSW,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell
8374926,Goldcrest Financial INC,Private Wealth,Y,4/9/2026,380,POST INDICATOR,POSTSW,W992040,charles.douglas@cibc.com,ad\cdouglas,Charles Douglas
9283741,Ironbridge Group LTD,Commercial Real Estate,Y,4/27/2026,380,POST INDICATOR,POSTSW,W992041,debra.ellis@cibc.com,ad\dellis,Debra Ellis
