AsOfDate,INSTR_OFFICER,INSTR_OFFICER_PC,INSTR_OFFICER_PCNAME,INSTR_OFFICER_PC_NBR_DESC,INSTR_OFFICER_LOB,INSTR_OFFICER_LOB2,INSTR_OFFICER_LOB3,CUST_SCNDRY_OFFICER,CUST_SCNDRY_OFFICER_PC,CUST_SCNDRY_OFFICER_PCNAME,CUST_SCNDRY_OFFICER_PC_NBR_DESC,CUST_SCNDRY_OFFICER_LOB,CUST_SCNDRY_OFFICER_LOB2,CUST_SCNDRY_OFFICER_LOB3,INSTR_PC,INSTR_PCNAME,INSTR_PC_NBR_DESC,INSTR_LOB,INSTR_LOB2,INSTR_LOB3,INSTR_ACCTNBR,INSTR_ACCTNBR_MASKED,INSTR_PRODUCT_TYPE_DESC,INSTR_CUSTNBR,CUST_NAME,CUST_PC,CUST_PCNAME,CUST_PC_NBR_DESC,CUST_LOB,CUST_LOB2,CUST_LOB3,CUST_NAME_MASKED,CUSTOMER_TYPE,INSTR_HOUSEHOLD_ID,INSTR_HOUSEHOLD_NAME,PRODUCT_TYPE
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000531872,*****1872,COMMERCIAL,710234,VELTARA HEALTH SYSTEMS LLC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,VELT*****,O,1901140000002310,VELTARA HEALTH SYSTEMS LLC,Commitment
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000548901,*****8901,BUSINESS DDA,710234,VELTARA HEALTH SYSTEMS LLC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,VELT*****,O,1901140000002310,VELTARA HEALTH SYSTEMS LLC,Deposit
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000562347,*****2347,COMMERCIAL CARDS,724891,NORBROOK SURGICAL PARTNERS LLC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,NORB*****,O,2003270000004450,NORBROOK SURGICAL PARTNERS LLC,Commitment
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,00005714423,*****4423,BUSINESS DDA,738102,CRESTLINE MEMORY CARE LLC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,CRES*****,O,2110050000001780,CRESTLINE MEMORY CARE LLC,Deposit
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000589234,*****9234,COMMERCIAL,751340,PINNACLE REHAB HOLDINGS INC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,PINN*****,O,2204180000003920,PINNACLE REHAB HOLDINGS INC,Commitment
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000594671,*****4671,BUSINESS DDA,751340,PINNACLE REHAB HOLDINGS INC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,PINN*****,O,2204180000003920,PINNACLE REHAB HOLDINGS INC,Deposit
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000601823,*****1823,COMMERCIAL CARDS,763450,BLUERIDGE HOSPICE CARE LLC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,BLUE*****,O,2106300000005510,BLUERIDGE HOSPICE CARE LLC,Commitment
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,00006124489,*****4489,BUSINESS DDA,763450,BLUERIDGE HOSPICE CARE LLC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,BLUE*****,O,2106300000005510,BLUERIDGE HOSPICE CARE LLC,Deposit
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000623917,*****3917,COMMERCIAL,778234,OAKMONT WELLNESS GROUP INC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,OAKM*****,O,2209120000006340,OAKMONT WELLNESS GROUP INC,Commitment
6/1/2026,JAMES WHITFIELD (501),62,GREAT-LAKES-MED,62: GREAT-LAKES-MED,Commercial Banking,Specialized Industries,Healthcare,PATRICIA ODOM (144),187,IL187,187: IL187,Commercial Banking,Commercial Banking Admin,Commercial Banking Admin,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,0000637542,*****7542,BUSINESS DDA,778234,OAKMONT WELLNESS GROUP INC,62,CBK Healthcare7,62: CBK Healthcare7,Commercial Banking,Specialized Industries,Healthcare,OAKM*****,O,2209120000006340,OAKMONT WELLNESS GROUP INC,Deposit
